name,symbol,price,market_cap,volume_24h,pct_24h,pct_7d
Bitcoin,BTC,117426.93640815486,2337665698413.3203,47530677466.86306,-0.37151365,0.71660725
Ethereum,ETH,4401.438531785705,531288287724.0446,26414140324.10328,-1.84804226,2.31075908
XRP,XRP,3.101724296808947,184299807363.1839,4083548640.8080583,0.26635489,-4.1322759
Tether USDt,USDT,1.0005838071987883,166755059576.30795,75744951887.67418,-0.01395409,-0.00183825
BNB,BNB,847.075773351586,117987225488.82593,2008944702.1348276,1.31821772,5.01299094
Solana,SOL,188.28855461671185,101665805548.64795,3589340868.997064,0.2188463,2.16266298
USDC,USDC,0.999913859350571,68176018418.832184,9510986356.229338,-0.00608085,0.00369235
Dogecoin,DOGE,0.23106943700621013,34787244107.90029,1812711636.08645,-1.3807159,-4.58388977
TRON,TRX,0.3484752597646264,32994388991.497894,883899546.8076481,-1.46732293,3.0901169
Cardano,ADA,0.911697510670529,32464723534.327335,2198838766.509194,-5.46175862,12.36447745
Hyperliquid,HYPE,46.07829045674292,15386839669.731531,197286633.18352866,-3.8731004,4.67901639
Chainlink,LINK,22.515298058630076,15267622948.29274,971328228.4269425,2.55450419,4.15518544
Stellar,XLM,0.42637155867137677,13346646289.985186,205565216.45826167,-0.78603663,-4.26736718
Sui,SUI,3.757127131843975,13194746747.179474,633994965.4407847,0.20333935,-4.37188835
Bitcoin Cash,BCH,587.7855917729283,11704240185.919,272878585.163984,-1.4208631,2.42107739
Ethena USDe,USDE,1.001344782961794,11309547855.714533,179616577.59046972,0.01636868,0.05266265
Hedera,HBAR,0.2514489146994746,10659655584.289911,228075933.61969206,0.48922118,-5.85985935
Avalanche,AVAX,24.10861815810638,10180473615.46354,422122775.0292491,0.61811247,-1.11110563
Litecoin,LTC,120.1885776036353,9157631443.213959,548769574.5542485,-0.06315322,-0.86951121
Toncoin,TON,3.448464912127531,8850583529.808258,138075320.40533975,0.09410377,1.49200669
UNUS SED LEO,LEO,9.500797883610725,8769636429.21352,1195720.46410062,-0.53205347,5.5223014
Shiba Inu,SHIB,1.2971612319268448e-05,7643470611.000085,113909732.01912045,-0.16488223,-6.33776578
Uniswap,UNI,10.979253332421312,6903093947.424299,434238878.8517935,1.17993283,-0.82076092
Polkadot,DOT,3.9426548467989253,6339158682.987879,167606754.74534467,-0.00667068,-4.97479176
Dai,DAI,1.0000585362969616,5365696772.300068,23527728481.999916,-0.00490783,0.00619277
Bitget Token,BGB,4.6260160949769835,5273621506.583467,84683638.9455037,0.12195774,2.39860681
Cronos,CRO,0.15072464597133486,4882568403.281217,17014088.52390401,-1.23446261,-3.97288731
Ethena,ENA,0.7320790269118038,4847735806.331601,483003926.5148337,1.73431715,-1.93743963
Monero,XMR,253.7129567922526,4680177982.130813,69164380.58123906,8.25652895,-8.10486067
Pepe,PEPE,1.1101963054560911e-05,4670483723.380577,375321760.80563915,1.59994327,-11.46833847
Mantle,MNT,1.3706199749660846,4613225012.74482,625757532.3748844,10.25748033,29.75507193
Aave,AAVE,295.9847939503785,4502899792.885851,315151400.90519965,-1.84250374,-3.97012063
Bittensor,TAO,372.8206792868181,3578143114.0691233,67564966.13116312,0.00796406,-5.60740487
Ethereum Classic,ETC,22.33076682001841,3419789445.5233583,99612686.35304156,-0.19186174,-6.14743734
NEAR Protocol,NEAR,2.724742204771446,3399680586.9258647,143068446.8429792,-0.58884065,-4.20036914
Aptos,APT,4.728102574317257,3238469302.607198,99722577.23426798,0.31229585,-2.37873796
Ondo,ONDO,0.99972513060921,3158239187.0380635,97688684.83832331,0.27527371,-4.71043939
Pi,PI,0.3820942605342446,2996068752.94487,27307150.9541515,-0.75870113,-15.87716455
Internet Computer,ICP,5.436172395196345,2918556788.5300984,55952036.44670023,-0.31470444,-5.3991953
Arbitrum,ARB,0.48828106785416625,2514764506.241246,324020411.69946706,0.96972086,2.14717535
POL (prev. MATIC),POL,0.2366798777252721,2480770539.188723,125113491.28967497,0.41157381,-5.80794152
Kaspa,KAS,0.08966176199164179,2383667842.231307,29736879.06508237,-1.2430921,-6.94938209
OKB,OKB,113.05755418270579,2374208637.8368216,370548605.35004413,20.63124291,140.142569
Algorand,ALGO,0.2599715064049855,2264728470.1502423,71977662.62311833,1.58615305,-4.27646247
World Liberty Financial USD,USD1,0.9998704198216739,2187127677.234812,338013869.7348942,-0.01819898,-0.03360782
GateToken,GT,17.594648467753824,2162568588.8249216,8531396.53748537,-0.70097282,4.01274018
VeChain,VET,0.02456710590974559,2112403613.2491946,31115428.96648224,0.07569931,-3.17082706
Cosmos,ATOM,4.55713826555106,2099269302.4309287,87052079.72724383,1.63974131,-4.38004722
Pudgy Penguins,PENGU,0.03298426906484144,2073404218.1563861,221092576.48536658,2.15672473,-15.28783763
Render,RENDER,3.9370979814119664,2039923730.7629573,53109673.34299019,1.62635304,-2.63173506
Bonk,BONK,2.416519665518366e-05,1948778825.2440145,163813632.0619983,1.61987461,-13.36266679
Sei,SEI,0.32354183256137586,1943407940.7029698,100368134.249289,-0.43490061,-2.48356641
Worldcoin,WLD,0.9973922547166837,1876219719.9072912,115799590.2431071,0.33499804,-8.59212077
OFFICIAL TRUMP,TRUMP,9.103282863258958,1820650092.619803,282587091.73466617,-1.59091932,-5.3963998
Flare,FLR,0.0243895116624834,1749772539.7117193,25289757.32934456,1.34587674,6.67934912
Story,IP,5.719822325629132,1734423565.5833106,34356698.82933056,1.72584741,-11.93389949
Filecoin,FIL,2.523662747904452,1725939885.7934232,114316487.89608054,1.32231456,-4.54702579
KuCoin Token,KCS,13.196371245546729,1681507142.3999991,9536135.32016209,2.95705121,7.40378483
Artificial Superintelligence Alliance,FET,0.7037340460957374,1673504602.607705,46682018.12870453,-0.45485155,-3.08251065
Sky,SKY,0.07489351566302667,1594115563.3525643,1776389.41371672,-2.02980961,-14.90261424
Jupiter,JUP,0.513839512699094,1571461108.3564234,30512568.4356852,-0.44576483,-5.09517174
First Digital USD,FDUSD,0.9983300657179792,1450040429.5136182,4014814107.1583824,0.00684342,0.00515361
Injective,INJ,14.458033686002006,1445383151.7789109,82258670.13769098,-0.14156496,-0.92873087
Four,FORM,3.722515051253293,1421506604.8564582,6898192.86222159,-1.59686759,-10.22159849
XDC Network,XDC,0.08554189809925271,1388592529.943417,35477910.67357219,-1.36401621,-5.67773606
Celestia,TIA,1.816043986342864,1359553464.9951894,82099868.96562052,1.31336022,-0.8811872
SPX6900,SPX,1.4596616473076878,1358934907.4836507,20782231.98077209,-2.5049369,-25.71174432
Quant,QNT,108.37220783604495,1308349271.6861176,12249352.05523438,-1.35285094,-6.48029352
Optimism,OP,0.7361052095371462,1289793845.5482206,111379019.21973456,0.50831137,-8.37749632
Stacks,STX,0.715119411120486,1281701271.999356,21313565.95457759,0.54951595,-5.82298843
Lido DAO,LDO,1.4083494256619782,1261515458.4359572,119746231.2963043,-1.15804805,4.58335371
Pump.fun,PUMP,0.0034583016456326055,1224238782.5539424,119314661.81654775,-0.82384001,10.87154514
PayPal USD,PYUSD,0.9996942666485333,1197721941.798108,41061646.49803058,0.00377707,0.0187344
Curve DAO Token,CRV,0.8645187661042352,1188757635.6151836,123211813.79835126,-1.26199897,-12.54810602
Aerodrome Finance,AERO,1.3469563149196575,1186236121.2385209,66034850.27362328,-2.58273668,7.88157843
Immutable,IMX,0.5801647667666188,1111259701.9494557,27320022.34252018,1.29795787,-4.54531889
FLOKI,FLOKI,0.00010665037008285152,1017480962.1101221,64890071.1553885,1.23890708,-12.74588927
The Graph,GRT,0.094336828926453,983763525.2636731,31085436.37902538,0.63676121,-6.73220924
Ethereum Name Service,ENS,26.332027285703276,967228948.3715001,59349266.60750296,-0.63027367,-13.48110438
Raydium,RAY,3.558048323027073,953852065.8716177,78732625.18161972,-1.77270387,3.3181474
PancakeSwap,CAKE,2.7618593312269804,951628333.4385471,48089812.09001319,1.30672615,-4.8825914
PAX Gold,PAXG,3332.4641539772015,947028291.0269358,20332656.47245033,-0.04490483,-1.59133224
Kaia,KAIA,0.15434344924454477,940770420.7212878,16412556.19413036,-0.15276163,0.86499938
Fartcoin,FARTCOIN,0.9394716667831255,939470028.3445387,119725214.7980302,-2.31758834,-15.63134917
Conflux,CFX,0.17806344405359148,912884585.7756515,39004296.31005142,-0.48256061,-14.7421057
Pendle,PENDLE,5.439455016022581,910466977.3977115,49998762.38628618,1.00658362,-2.63239751
Tezos,XTZ,0.8497242529975013,896420749.9150636,44169435.55580258,0.56665784,-5.41072594
Sonic,S,0.310631541847138,894618840.5197574,71932483.15645261,3.00732755,-3.50670465
dogwifhat,WIF,0.8802449716690747,879223977.487382,133034453.97447686,-0.01738145,-13.6414674
Nexo,NEXO,1.3470111812562102,870365670.6292818,9463330.35119534,-2.29410907,-0.94734211
Theta Network,THETA,0.8438923617909518,843892361.7909518,27134423.80805571,0.9155538,-3.82901193
Tether Gold,XAUT,3341.714826736177,823812905.9463093,22220940.54286595,-0.0101893,-1.38686524
IOTA,IOTA,0.20741952915945575,821212542.644103,25183574.19120523,3.38914906,-0.31958578
JasmyCoin,JASMY,0.016428066742448705,812285754.7768965,23247346.84586119,-0.00049846,-1.55633923
Vaulta,A,0.5090327518174973,806720027.6903006,25492713.34153875,-0.05612079,-7.05838397
Virtuals Protocol,VIRTUAL,1.2072198531219682,791297099.9829133,65911079.9290037,1.23235609,-15.29994141
Gala,GALA,0.017157053456313333,783301542.2864137,102374090.85478275,2.18575274,-5.41471178
The Sandbox,SAND,0.2958758477171467,761374121.1704472,59492492.64001729,2.72891787,-2.10500359
Pyth Network,PYTH,0.12334311901263949,709221076.218499,19718121.97739918,0.80698681,-5.9753876
BitTorrent [New],BTT,6.811443145271515e-07,671649941.2331909,16182829.1205092,0.65652381,-1.50997454
